;MACEIO;ARACAJU;RECIFE;JOÃO PESSOA;SALVADOR
abr/23;7.594;4.203;7.338;5.698;5.766
mai/23;7.720;4.365;7.407;5.741;5.785
jun/23;7.843;4.478;7.454;5.737;5.824
jul/23;7.951;4.484;7.476;5.735;5.868
ago/23;8.038;4.496;7.488;5.732;5.903
set/23;8.138;4.505;7.469;5.800;5.924
out/23;8.245;4.545;7.481;5.875;5.924
nov/23;8.342;4.543;7.510;5.940;5.912
dez/23;8.383;4.541;7.573;5.991;5.892
jan/24;8.427;4.540;7.615;6.036;5.906
fev/24;8.505;4.534;7.694;6.141;5.974
mar/24;8.581;4.533;7.794;6.201;6.049
abr/24;8.701;4.547;7.891;6.296;6.092
mai/24;8.812;4.589;7.938;6.354;6.164
jun/24;8.912;4.665;7.935;6.452;6.259
jul/24;8.908;4.720;7.964;6.537;6.411
ago/24;8.888;4.788;7.984;6.656;6.544
set/24;8.889;4.889;8.029;6.786;6.653
out/24;8.983;5.003;8.061;6.864;6.728
nov/24;9.118;5.120;8.069;6.899;6.766
dez/24;9.263;5.167;8.076;6.922;6.857
jan/25;9.342;5.155;8.062;7.030;6.970
fev/25;9.379;5.112;8.082;7.183;7.116
mar/25;9.339;5.119;8.095;7.342;7.236
abr/25;9.307;5.170;8.112;7.445;7.349
mai/25;9.315;5.170;8.157;7.497;7.449
