;MACEIO;ARACAJU;RECIFE;JOÃO PESSOA;SALVADOR
01/01/2008;0;0;0;0;0
01/02/2008;0;0;0;0;0
01/03/2008;0;0;0;0;0
01/04/2008;0;0;0;0;0
01/05/2008;0;0;0;0;0
01/06/2008;0;0;0;0;0
01/07/2008;0;0;0;0;0
01/08/2008;0;0;0;0;0
01/09/2008;0;0;0;0;0
01/10/2008;0;0;0;0;0
01/11/2008;0;0;0;0;0
01/12/2008;0;0;0;0;0
01/01/2009;0;0;0;0;0
01/02/2009;0;0;0;0;0
01/03/2009;0;0;0;0;0
01/04/2009;0;0;0;0;0
01/05/2009;0;0;0;0;0
01/06/2009;0;0;0;0;0
01/07/2009;0;0;0;0;0
01/08/2009;0;0;0;0;0
01/09/2009;0;0;0;0;0
01/10/2009;0;0;0;0;0
01/11/2009;0;0;0;0;0
01/12/2009;0;0;0;0;0
01/01/2010;0;0;0;0;0
01/02/2010;0;0;0;0;0
01/03/2010;0;0;0;0;0
01/04/2010;0;0;0;0;0
01/05/2010;0;0;0;0;0
01/06/2010;0;0;3.154;0;0
01/07/2010;0;0;3.151;0;0
01/08/2010;0;0;3.185;0;3.310
01/09/2010;0;0;3.253;0;3.280
01/10/2010;0;0;3.321;0;3.311
01/11/2010;0;0;3.368;0;3.341
01/12/2010;0;0;3.395;0;3.395
01/01/2011;0;0;3.421;0;3.404
01/02/2011;0;0;3.468;0;3.424
01/03/2011;0;0;3.538;0;3.460
01/04/2011;0;0;3.664;0;3.490
01/05/2011;0;0;3.789;0;3.509
01/06/2011;0;0;3.906;0;3.489
01/07/2011;0;0;4.023;0;3.494
01/08/2011;0;0;4.142;0;3.506
01/09/2011;0;0;4.242;0;3.537
01/10/2011;0;0;4.293;0;3.572
01/11/2011;0;0;4.336;0;3.600
01/12/2011;0;0;4.438;0;3.626
01/01/2012;0;0;4.590;0;3.661
01/02/2012;0;0;4.737;0;3.738
01/03/2012;0;0;4.837;0;3.739
01/04/2012;0;0;4.904;0;3.716
01/05/2012;0;0;4.994;0;3.669
01/06/2012;0;0;5.032;0;3.746
01/07/2012;0;0;5.065;0;3.813
01/08/2012;0;0;5.073;0;3.853
01/09/2012;0;0;5.127;0;3.847
01/10/2012;0;0;5.184;0;3.861
01/11/2012;0;0;5.206;0;3.909
01/12/2012;0;0;5.229;0;3.990
01/01/2013;0;0;5.221;0;4.047
01/02/2013;0;0;5.169;0;4.100
01/03/2013;0;0;5.200;0;4.100
01/04/2013;0;0;5.278;0;4.116
01/05/2013;0;0;5.429;0;4.130
01/06/2013;0;0;5.548;0;4.198
01/07/2013;0;0;5.617;0;4.273
01/08/2013;0;0;5.668;0;4.342
01/09/2013;0;0;5.740;0;4.377
01/10/2013;0;0;5.818;0;4.385
01/11/2013;0;0;5.872;0;4.390
01/12/2013;0;0;5.931;0;4.415
01/01/2014;0;0;5.990;0;4.445
01/02/2014;0;0;6.044;0;4.471
01/03/2014;0;0;6.086;0;4.508
01/04/2014;0;0;6.127;0;4.528
01/05/2014;0;0;6.146;0;4.563
01/06/2014;0;0;6.160;0;4.589
01/07/2014;0;0;6.166;0;4.620
01/08/2014;0;0;6.199;0;4.642
01/09/2014;0;0;6.164;0;4.682
01/10/2014;0;0;6.201;0;4.705
01/11/2014;0;0;6.250;0;4.733
01/12/2014;0;0;6.344;0;4.728
01/01/2015;0;0;6.381;0;4.769
01/02/2015;0;0;6.379;0;4.756
01/03/2015;0;0;6.337;0;4.749
01/04/2015;0;0;6.358;0;4.792
01/05/2015;0;0;6.365;0;4.801
01/06/2015;0;0;6.363;0;4.812
01/07/2015;0;0;6.368;0;4.830
01/08/2015;0;0;6.370;0;4.848
01/09/2015;0;0;6.368;0;4.850
01/10/2015;0;0;6.355;0;4.846
01/11/2015;0;0;6.344;0;4.840
