,MACEIO,ARACAJU,RECIFE,JOÃO PESSOA,SALVADOR
6/1/2019,"5,060",0,"6,237","4,327","4,870"
7/1/2019,"5,110",0,"6,228","4,335","4,880"
8/1/2019,"5,138",0,"6,223","4,345","4,910"
9/1/2019,"5,124",0,"6,211","4,342","4,932"
10/1/2019,"5,081",0,"6,196","4,371","4,953"
11/1/2019,"5,036",0,"6,203","4,374","4,990"
12/1/2019,"4,992",0,"6,228","4,375","4,995"
1/1/2020,"5,009",0,"6,228","4,375","5,003"
2/1/2020,"5,040",0,"6,208","4,373","5,007"
3/1/2020,"5,057",0,"6,174","4,365","5,016"
4/1/2020,"5,078",0,"6,161","4,351","5,025"
5/1/2020,"5,068",0,"6,070","4,344","5,040"
6/1/2020,"5,098",0,"5,986","4,358","5,044"
7/1/2020,"5,120",0,"5,883","4,380","5,056"
8/1/2020,"5,169",0,"5,923","4,404","5,063"
9/1/2020,"5,203",0,"5,994","4,438","5,098"
10/1/2020,"5,234",0,"6,094","4,478","5,119"
11/1/2020,"5,288",0,"6,168","4,520","5,156"
12/1/2020,"5,386",0,"6,204","4,563","5,175"
1/1/2021,"5,484",0,"6,210","4,596","5,178"
2/1/2021,"5,565",0,"6,206","4,634","5,160"
3/1/2021,"5,642",0,"6,207","4,662","5,166"
4/1/2021,"5,726",0,"6,225","4,704","5,199"
5/1/2021,"5,779",0,"6,259","4,731","5,244"
6/1/2021,"5,825",0,"6,293","4,746","5,265"
7/1/2021,"5,868",0,"6,330","4,761","5,261"
8/1/2021,"5,972",0,"6,354","4,782","5,250"
9/1/2021,"6,051",0,"6,375","4,820","5,250"
10/1/2021,"6,147",0,"6,400","4,861","5,252"
11/1/2021,"6,247",0,"6,438","4,904","5,246"
12/1/2021,"6,383",0,"6,465","4,948","5,256"
1/1/2022,"6,488","4,021","6,484","4,984","5,282"
2/1/2022,"6,563","4,080","6,506","5,039","5,329"
3/1/2022,"6,620","4,162","6,532","5,085","5,373"
4/1/2022,"6,614","4,307","6,614","5,160","5,403"
5/1/2022,"6,626","4,462","6,697","5,235","5,429"
6/1/2022,"6,673","4,601","6,789","5,286","5,471"
7/1/2022,"6,767","4,626","6,823","5,341","5,535"
8/1/2022,"6,836","4,593","6,850","5,338","5,581"
9/1/2022,"6,919","4,543","6,906","5,373","5,606"
10/1/2022,"7,009","4,460","6,997","5,392","5,601"
11/1/2022,"7,135","4,347","7,120","5,439","5,597"
12/1/2022,"7,227","4,288","7,199","5,455","5,571"
1/1/2023,"7,306","4,229","7,236","5,517","5,597"
2/1/2023,"7,381","4,167","7,234","5,586","5,650"
3/1/2023,"7,476","4,130","7,276","5,662","5,718"
4/1/2023,"7,594","4,203","7,338","5,698","5,766"
5/1/2023,"7,720","4,365","7,407","5,741","5,785"
6/1/2023,"7,843","4,478","7,454","5,737","5,824"
7/1/2023,"7,951","4,484","7,476","5,735","5,868"
8/1/2023,"8,038","4,496","7,488","5,732","5,903"
9/1/2023,"8,138","4,505","7,469","5,800","5,924"
10/1/2023,"8,245","4,545","7,481","5,875","5,924"
11/1/2023,"8,342","4,543","7,510","5,940","5,912"
12/1/2023,"8,383","4,541","7,573","5,991","5,892"
1/1/2024,"8,427","4,540","7,615","6,036","5,906"
2/1/2024,"8,505","4,534","7,694","6,141","5,974"
3/1/2024,"8,581","4,533","7,794","6,201","6,049"
4/1/2024,"8,701","4,547","7,891","6,296","6,092"
5/1/2024,"8,812","4,589","7,938","6,354","6,164"
6/1/2024,"8,912","4,665","7,935","6,452","6,259"
7/1/2024,"8,908","4,720","7,964","6,537","6,411"
8/1/2024,"8,888","4,788","7,984","6,656","6,544"
9/1/2024,"8,889","4,889","8,029","6,786","6,653"
10/1/2024,"8,983","5,003","8,061","6,864","6,728"
11/1/2024,"9,118","5,120","8,069","6,899","6,766"
12/1/2024,"9,263","5,167","8,076","6,922","6,857"
1/1/2025,"9,342","5,155","8,062","7,030","6,970"
2/1/2025,"9,379","5,112","8,082","7,183","7,116"
3/1/2025,"9,339","5,119","8,095","7,342","7,236"
4/1/2025,"9,307","5,170","8,112","7,445","7,349"
5/1/2025,"9,315","5,170","8,157","7,497","7,449"
